precinct,party,candidate,votes
collin:23,DEM,Robert Johnson,693
collin:23,REP,"Jesse F. McClure, III",285
collin:23,,Over Votes,0
collin:23,,Under Votes,44
collin:26,DEM,Robert Johnson,263
collin:26,REP,"Jesse F. McClure, III",282
collin:26,,Over Votes,0
collin:26,,Under Votes,23
collin:46,DEM,Robert Johnson,691
collin:46,REP,"Jesse F. McClure, III",497
collin:46,,Over Votes,0
collin:46,,Under Votes,65
collin:48,DEM,Robert Johnson,1086
collin:48,REP,"Jesse F. McClure, III",1011
collin:48,,Over Votes,0
collin:48,,Under Votes,63
collin:51,DEM,Robert Johnson,370
collin:51,REP,"Jesse F. McClure, III",254
collin:51,,Over Votes,0
collin:51,,Under Votes,21
collin:52,DEM,Robert Johnson,1034
collin:52,REP,"Jesse F. McClure, III",686
collin:52,,Over Votes,0
collin:52,,Under Votes,69
collin:55,DEM,Robert Johnson,1276
collin:55,REP,"Jesse F. McClure, III",721
collin:55,,Over Votes,0
collin:55,,Under Votes,104
collin:68,DEM,Robert Johnson,452
collin:68,REP,"Jesse F. McClure, III",435
collin:68,,Over Votes,0
collin:68,,Under Votes,43
collin:78,DEM,Robert Johnson,1242
collin:78,REP,"Jesse F. McClure, III",919
collin:78,,Over Votes,0
collin:78,,Under Votes,85
collin:94,DEM,Robert Johnson,1248
collin:94,REP,"Jesse F. McClure, III",1106
collin:94,,Over Votes,0
collin:94,,Under Votes,91
collin:103,DEM,Robert Johnson,303
collin:103,REP,"Jesse F. McClure, III",244
collin:103,,Over Votes,0
collin:103,,Under Votes,23
collin:110,DEM,Robert Johnson,688
collin:110,REP,"Jesse F. McClure, III",821
collin:110,,Over Votes,0
collin:110,,Under Votes,54
collin:125,DEM,Robert Johnson,1404
collin:125,REP,"Jesse F. McClure, III",1183
collin:125,,Over Votes,0
collin:125,,Under Votes,87
collin:152,DEM,Robert Johnson,63
collin:152,REP,"Jesse F. McClure, III",27
collin:152,,Over Votes,0
collin:152,,Under Votes,2
dallas:ALL,,Under Votes,3426
dallas:ALL,DEM,Robert Johnson,95365
dallas:ALL,REP,"Jesse F. McClure, III",54279
